Mes,Hora,MP_2.5,MP_10,Temp._promedio_aire,Precipitacion_horaria,Humed._rel._Promedio,Presion_Atm,Rad_solar,Veloc_viento,Direccion_viento
1,8,8.12,21.03,12.3,0,97.8,1020,244.7,1,299.7
1,9,29.22,33,15.2,0,79.7,1020,608,1.6,331.8
1,10,6.1,19,17.3,0,64.5,1020,798.9,0.8,120.3
1,11,6.11,14.26,18.5,0,55,1020,670.6,1.1,275.4
1,12,5,14.9,18.8,0,56.9,1019,717.9,2,254.3
1,13,2.71,16.28,20,0,51.3,1019,1041,2.6,242.6
1,14,1.36,11.68,20.6,0,46.1,1019,999,2.8,216.8
1,15,1.36,13.61,20.5,0,48.5,1019,923,2.6,286.6
1,16,1.36,11.73,19.8,0,51.7,1019,789.6,3.5,239.6
1,17,3.36,6.91,19.4,0,55.5,1019,618.9,3.1,238.9
1,18,2.04,4.95,18.8,0,64.5,1018,427.3,2.5,218.8
1,8,6.14,10.16,12.7,0,98.9,1016,259.2,1.2,295.4
1,9,9.5,10.5,15.9,0,83.4,1016,311.8,1.9,353.2
1,10,29.19,15.85,17.6,0,68.2,1015,748.5,2.1,326.2
1,11,1.22,1.22,19,0,63.1,1015,783.8,3.2,299.1
1,12,1.02,1.08,18.4,0,63.7,1016,390.1,3.2,294.3
1,13,1,7.8,18.9,0,68.3,1015,634.7,4,289.1
1,14,2.39,8.27,17.9,0,71.2,1015,381.3,3.7,304.8
1,15,5.43,11.61,18.7,0,71.1,1015,512.6,3.4,324.4
1,16,4.75,17.2,18.3,0,72.4,1015,207.4,3.3,307
1,17,2.72,20.41,18.6,0,73.3,1014,380.1,3.7,316.7
1,18,4.08,17.54,18,0,75.9,1014,219.1,4,352.5
1,8,28.53,14.84,13.6,0,86.4,1014,65.1,1.5,331.2
1,9,4.08,21.8,15.9,0,67.2,1015,568.7,1.1,299.1
1,10,7.47,17.66,14.6,0,69.5,1015,284.9,2.1,256.7
1,11,9.51,10.4,16.4,0,63.2,1015,860,4.4,257.4
1,12,6.11,17.66,13.3,0,80.8,1016,438.2,1.9,267.9
1,13,4.74,14.89,16.8,0,64.8,1016,981,4,229.8
1,14,4.08,12.34,16.2,0,66.5,1015,564.4,3.8,245.8
1,15,4.08,11.57,16.2,0,60,1016,889,3.4,241.5
1,16,5.76,14.97,17.2,0,60.5,1016,838,3.4,256.8
1,17,6.43,14.84,15.9,0,64.2,1016,349.8,3.5,234.3
1,18,4.75,12.3,16,0,64.7,1016,411.3,2.6,246
1,8,1.1,11.12,12,0,94,1017,94,2.8,204.3
1,9,2.04,8.21,15,0,71.4,1017,628.4,2.1,247.7
1,10,2.72,8.53,13.7,0,84.9,1017,207.2,3,254.9
1,11,4.08,11.17,16.5,0,64.2,1016,689.1,2.2,187.1
1,12,5.43,11.93,16.3,0,58.2,1016,504.7,3,212.1
1,13,16.98,12.22,16.7,0,57.2,1017,820,3.7,225.7
1,14,6.79,11.19,16.9,0,54.5,1017,548.2,3.3,233.5
1,15,5.89,25.87,17,0,55.3,1017,431.4,3,236.9
1,16,4.07,12.9,17.4,0,49.2,1016,707.1,4.5,250
1,17,6.11,11.2,17.5,0,51.8,1016,637.1,3.4,185.2
1,18,6.11,11.2,16.7,0,58.3,1016,444.3,3.2,242.8
1,8,2.97,16.29,12.9,0,69.9,1019,389.4,2.1,183.2
1,9,5.66,14.1,14.1,0,60.2,1019,573.2,2.9,122
1,10,3.95,15.29,15.2,0,53.5,1018,638.4,3.2,153.9
1,11,3.4,10.74,16.4,0,52.1,1018,769,2.9,119.3
1,12,4.75,20.99,17.3,0,48.3,1017,894,3,190.1
1,13,6.11,34.58,18,0,46.3,1016,700.7,2.9,132.6
1,14,29.87,17.7,18.9,0,45.6,1016,767.4,3.3,100
1,15,4.19,20.7,19.4,0,45.1,1015,589.1,3.1,135.7
1,16,1,31.15,19.3,0,40.3,1015,412.5,2.7,133
1,17,1,18.43,19.2,0,43.8,1014,509.3,2.2,172.5
1,18,1,20.71,20.5,0,39.4,1014,438.1,2,125
1,8,11.54,49.1,13.2,0,79.1,1014,379.1,1.1,6.6
1,9,16.3,27.84,16.1,0,60.4,1014,579.3,0.7,95.5
1,10,5.43,16.47,18.4,0,62.2,1013,753,0.6,171.8
1,11,9.51,6.8,19.7,0,57.7,1013,921,1.3,83.7
1,12,8.11,9.34,19.8,0,58.5,1014,453.3,2,271.7
1,13,4.07,12.68,19.8,0,63.2,1014,456,1.8,253.6
1,14,4.75,13.43,20.1,0,64.4,1014,545.8,2.4,292.2
1,15,5.79,9.96,21.4,0,61.3,1013,1053,2.5,261.1
1,16,5.92,16.12,20.9,0,63.3,1013,826,3.3,283.2
1,17,6.11,18.3,19,0,71,1013,308.5,4.1,265.3
1,18,6.79,11.51,17.8,0,78,1013,129.1,3.2,0.3
1,8,12.22,50.67,15.6,0,88.3,1014,56.7,0.5,249.2
1,9,10.17,13.8,16.8,0,72.6,1014,309.8,1.2,279
1,10,7.31,15,17,0,73.4,1014,215.4,0.7,199.3
1,11,8.25,15.31,17.9,0,66.6,1015,298.4,0.4,165.9
1,12,0,12.9,19.5,0,65.4,1015,534.1,0.8,20.7
1,13,4.07,13.42,19.3,0,59.6,1015,426.7,0.5,99.5
1,14,4.07,16.78,19.2,0,60.3,1014,346.5,1.2,120.9
1,15,4.07,12.35,20.5,0,63.4,1014,499.5,1.2,220.2
1,16,5.43,11.91,19.2,0,70.8,1014,112.1,1,209.6
1,17,7.36,20.21,17.8,0,83.5,1014,110.6,1.4,19.3
1,18,8.09,13.05,18.6,0,79.7,1013,194.7,1.1,303.2
1,8,4.07,5.18,17.7,0,91.2,1010,88.7,1.9,341.8
1,9,4.07,1.79,18.3,0.1,88.5,1010,255.3,3,322.4
1,10,4.07,2.18,19,0,86.9,1008,577.1,3.4,251.2
1,11,1,2.72,18.8,0,90.1,1008,369.7,3.4,298.1
1,12,1,2.72,17.9,0,90.5,1008,189.4,4.5,309.2
1,13,2.72,5.59,18,1.1,92.2,1008,52.3,2.9,354.6
1,14,1,5.96,17.9,0,91.6,1007,122.3,5.1,346.6
1,15,4.07,5.9,18.7,0,89.2,1007,305.6,5.3,318.4
1,16,3.4,4.4,17.7,2.4,92.3,1005,115.6,4,316.1
1,17,5.79,1.78,18.1,0.1,88.1,1005,210.6,3.3,290.8
1,18,9.51,3.98,18,0.1,91.7,1004,89.5,6.1,336.5
1,8,6.48,11.88,13,0.1,86.2,1013,100.1,0.5,334.8
1,9,6.79,30,15.1,0,72.1,1014,549.7,1.6,273.9
1,10,3.4,15.57,16.1,0,68.1,1014,837,2,239.8
1,11,5.43,14.28,17.1,0,66,1015,956,2.4,202.2
1,12,1,23.71,17,0,59.4,1016,945,3.6,241.4
1,13,1,14.88,17.4,0,56.7,1016,1012,3.4,282.2
1,14,7.45,13.59,17.3,0,54.5,1017,982,3.7,271
1,15,4.07,10.93,17.1,0,51.7,1017,889,3.8,245.3
1,16,27.17,16.12,17.1,0,54.7,1018,772.1,3.1,234.7
1,17,9.5,13.82,16.9,0,49.4,1018,647.9,3.1,258.4
