Fecha,Hora,"MP 2,5",MP 10,CO,Temp. promedio aire,Precipitación horaria,Humed. rel. promedio,Presión atmosférica,Radiación solar máx W/m2,Veloc. máx. viento,Dirección del viento
1/1/2017,0,13.52,0,,10.6,0.0,95.0,1019.0,0.0,0.1,28.6
1/1/2017,1,6.788,16.29,,9.4,0.0,96.7,1019.0,0.0,0.0,72.0
1/1/2017,2,1.352,21.14,,8.5,0.0,97.8,1019.0,0.0,0.0,83.2
1/1/2017,3,1.352,14.51,,7.7,0.0,98.2,1018.0,0.0,0.0,74.4
1/1/2017,4,1.352,8.11,,7.6,0.0,97.9,1018.0,0.0,0.3,96.5
1/1/2017,5,1.391,4.073,,8.9,0.0,98.9,1019.0,0.0,0.2,90.3
1/1/2017,6,3.394,19.45,,9.6,0.0,99.2,1019.0,9.6,0.1,122.4
1/1/2017,7,6.556,19.52,,10.6,0.0,99.3,1020.0,89.1,0.1,56.7
1/1/2017,8,8.12,21.03,,12.3,0.0,97.8,1020.0,244.7,1.0,299.7
1/1/2017,9,29.22,33,,15.2,0.0,79.7,1020.0,608.0,1.6,331.8
1/1/2017,10,6.103,19,,17.3,0.0,64.5,1020.0,798.9,0.8,120.3
1/1/2017,11,6.107,14.26,,18.5,0.0,55.0,1020.0,670.6,1.1,275.4
1/1/2017,12,5.004,14.9,,18.8,0.0,56.9,1019.0,717.9,2.0,254.3
1/1/2017,13,2.714,16.28,,20.0,0.0,51.3,1019.0,1041.0,2.6,242.6
1/1/2017,14,1.357,11.68,,20.6,0.0,46.1,1019.0,999.0,2.8,216.8
1/1/2017,15,1.357,13.61,,20.5,0.0,48.5,1019.0,923.0,2.6,286.6
1/1/2017,16,1.363,11.73,,19.8,0.0,51.7,1019.0,789.6,3.5,239.6
1/1/2017,17,3.364,6.91,,19.4,0.0,55.5,1019.0,618.9,3.1,238.9
1/1/2017,18,2.036,4.953,,18.8,0.0,64.5,1018.0,427.3,2.5,218.8
1/1/2017,19,1.329,5.44,,18.4,0.0,64.8,1018.0,230.9,1.3,222.4
1/1/2017,20,1.357,5.203,,17.0,0.0,69.1,1018.0,21.7,0.9,299.8
1/1/2017,21,1.358,4.073,,16.0,0.0,75.6,1018.0,0.4,1.4,246.4
1/1/2017,22,1.358,2.358,,15.6,0.0,81.1,1018.0,0.0,2.3,192.0
1/1/2017,23,1.358,17.82,,14.6,0.0,85.2,1018.0,0.0,0.5,44.8
2/1/2017,0,1.358,23.53,,11.9,0.0,93.9,1018.0,0.0,0.6,32.1
2/1/2017,1,1.358,12.1,,10.1,0.0,96.1,1017.0,0.0,0.0,139.5
2/1/2017,2,1.352,8.64,,10.0,0.0,97.6,1016.0,0.0,0.3,36.1
2/1/2017,3,1.352,5.43,,9.3,0.0,97.9,1016.0,0.0,0.1,8.5
2/1/2017,4,1.358,6.658,,9.9,0.0,98.4,1016.0,0.0,0.0,21.9
2/1/2017,5,1.346,10.03,,11.0,0.0,98.8,1016.0,0.0,0.1,76.8
2/1/2017,6,3.4,10.24,,11.4,0.0,99.4,1016.0,15.2,0.6,10.2
2/1/2017,7,4.073,8.99001,,11.6,0.0,99.1,1016.0,82.3,1.5,330.4
2/1/2017,8,6.143,10.16,,12.7,0.0,98.9,1016.0,259.2,1.2,295.4
2/1/2017,9,9.5,10.5,,15.9,0.0,83.4,1016.0,311.8,1.9,353.2
2/1/2017,10,29.19,15.85,,17.6,0.0,68.2,1015.0,748.5,2.1,326.2
2/1/2017,11,1.222,1.216,,19.0,0.0,63.1,1015.0,783.8,3.2,299.1
2/1/2017,12,1.019,1.075,,18.4,0.0,63.7,1016.0,390.1,3.2,294.3
2/1/2017,13,1,7.804,,18.9,0.0,68.3,1015.0,634.7,4.0,289.1
2/1/2017,14,2.394,8.27,,17.9,0.0,71.2,1015.0,381.3,3.7,304.8
2/1/2017,15,5.433,11.61,,18.7,0.0,71.1,1015.0,512.6,3.4,324.4
2/1/2017,16,4.754,17.2,,18.3,0.0,72.4,1015.0,207.4,3.3,307.0
2/1/2017,17,2.716,20.41,,18.6,0.0,73.3,1014.0,380.1,3.7,316.7
2/1/2017,18,4.075,17.54,,18.0,0.0,75.9,1014.0,219.1,4.0,352.5
2/1/2017,19,4.704,14.86,,17.1,0.7,87.9,1014.0,60.7,3.6,300.5
2/1/2017,20,4.075,20.38,,16.9,0.0,83.0,1013.0,15.9,3.1,292.2
2/1/2017,21,5.643,12.3,,16.7,0.0,83.5,1013.0,0.3,3.2,349.8
2/1/2017,22,4.075,13.58,,15.2,0.3,87.7,1014.0,0.0,4.2,257.5
2/1/2017,23,3.396,19.88,,15.5,0.0,84.9,1014.0,0.0,2.1,291.7
3/1/2017,0,5.581,8.8,,14.9,0.0,81.1,1014.0,0.0,2.2,310.3
3/1/2017,1,6.345,20.38,,14.5,0.0,79.3,1014.0,0.0,1.0,246.2
3/1/2017,2,4.075,20.95,,13.9,0.0,79.9,1014.0,0.0,0.7,309.0
3/1/2017,3,4.075,12.6,,12.8,0.2,92.4,1014.0,0.0,0.8,350.7
3/1/2017,4,5.366,11.1,,12.7,0.4,91.6,1014.0,0.0,0.6,33.7
3/1/2017,5,4.075,12.14,,11.4,0.0,94.9,1014.0,0.0,0.4,11.7
3/1/2017,6,4.075,13.58,,12.0,0.0,93.9,1014.0,5.9,0.5,285.6
3/1/2017,7,4.772,21.72,,12.5,0.0,94.4,1014.0,44.7,1.3,51.2
3/1/2017,8,28.53,14.84,,13.6,0.0,86.4,1014.0,65.1,1.5,331.2
3/1/2017,9,4.075,21.8,,15.9,0.0,67.2,1015.0,568.7,1.1,299.1
3/1/2017,10,7.471,17.66,,14.6,0.0,69.5,1015.0,284.9,2.1,256.7
3/1/2017,11,9.50999,10.4,,16.4,0.0,63.2,1015.0,860.0,4.4,257.4
3/1/2017,12,6.112,17.66,,13.3,0.0,80.8,1016.0,438.2,1.9,267.9
3/1/2017,13,4.737,14.89,,16.8,0.0,64.8,1016.0,981.0,4.0,229.8
3/1/2017,14,4.075,12.34,,16.2,0.0,66.5,1015.0,564.4,3.8,245.8
3/1/2017,15,4.075,11.57,,16.2,0.0,60.0,1016.0,889.0,3.4,241.5
3/1/2017,16,5.756,14.97,,17.2,0.0,60.5,1016.0,838.0,3.4,256.8
3/1/2017,17,6.429,14.84,,15.9,0.0,64.2,1016.0,349.8,3.5,234.3
3/1/2017,18,4.754,12.3,,16.0,0.0,64.7,1016.0,411.3,2.6,246.0
3/1/2017,19,2.037,10.87,,15.6,0.0,64.1,1017.0,181.5,2.4,228.5
3/1/2017,20,15.62,29.55,,14.0,0.0,74.6,1017.0,33.6,1.0,220.0
3/1/2017,21,23.77,48.34,,12.4,0.0,85.7,1017.0,0.3,0.2,80.3
3/1/2017,22,13.58,37.65,,11.5,0.0,93.3,1018.0,0.0,0.2,304.4
3/1/2017,23,10.53,11.56,,12.0,0.1,87.3,1018.0,0.0,1.4,288.8
4/1/2017,0,7.902,16.4,,11.7,0.0,94.0,1018.0,0.0,0.8,8.4
4/1/2017,1,8.14,15.99,,10.0,0.0,97.1,1018.0,0.0,0.6,50.6
4/1/2017,2,7.46,13.69,,9.6,0.0,97.5,1018.0,0.0,0.6,19.1
4/1/2017,3,8.72,17.88,,9.6,0.0,98.4,1017.0,0.1,0.7,26.2
4/1/2017,4,8.78999,18.14,,9.9,0.1,98.9,1016.0,0.6,0.9,53.5
4/1/2017,5,7.087,18.37,,9.0,0.0,98.4,1016.0,0.7,0.2,10.4
4/1/2017,6,16.3,26.1,,8.2,0.0,99.6,1016.0,38.8,0.5,0.2
4/1/2017,7,15.62,31.99,,10.4,0.0,99.2,1017.0,69.4,0.5,10.1
