Fecha,Dia,Mes,Año,Hora,MP_2.5,MP_10,CO,Temp._promedio_aire,Precipitación_horaria,Humed._rel._Promedio,Presión_Atm,Rad_solar,Veloc_viento,Dirección_viento
01-01-2017,1,enero,2017,0,13.52,0,,10.6,0,95,1019,0,0.1,28.6
01-01-2017,1,enero,2017,1,6.788,16.29,,9.4,0,96.7,1019,0,0,72
01-01-2017,1,enero,2017,2,1.352,21.14,,8.5,0,97.8,1019,0,0,83.2
01-01-2017,1,enero,2017,3,1.352,14.51,,7.7,0,98.2,1018,0,0,74.4
01-01-2017,1,enero,2017,4,1.352,8.11,,7.6,0,97.9,1018,0,0.3,96.5
01-01-2017,1,enero,2017,5,1.391,4.073,,8.9,0,98.9,1019,0,0.2,90.3
01-01-2017,1,enero,2017,6,3.394,19.45,,9.6,0,99.2,1019,9.6,0.1,122.4
01-01-2017,1,enero,2017,7,6.556,19.52,,10.6,0,99.3,1020,89.1,0.1,56.7
01-01-2017,1,enero,2017,8,8.12,21.03,,12.3,0,97.8,1020,244.7,1,299.7
01-01-2017,1,enero,2017,9,29.22,33,,15.2,0,79.7,1020,608,1.6,331.8
01-01-2017,1,enero,2017,10,6.103,19,,17.3,0,64.5,1020,798.9,0.8,120.3
01-01-2017,1,enero,2017,11,6.107,14.26,,18.5,0,55,1020,670.6,1.1,275.4
01-01-2017,1,enero,2017,12,5.004,14.9,,18.8,0,56.9,1019,717.9,2,254.3
01-01-2017,1,enero,2017,13,2.714,16.28,,20,0,51.3,1019,1041,2.6,242.6
01-01-2017,1,enero,2017,14,1.357,11.68,,20.6,0,46.1,1019,999,2.8,216.8
01-01-2017,1,enero,2017,15,1.357,13.61,,20.5,0,48.5,1019,923,2.6,286.6
01-01-2017,1,enero,2017,16,1.363,11.73,,19.8,0,51.7,1019,789.6,3.5,239.6
01-01-2017,1,enero,2017,17,3.364,6.91,,19.4,0,55.5,1019,618.9,3.1,238.9
01-01-2017,1,enero,2017,18,2.036,4.953,,18.8,0,64.5,1018,427.3,2.5,218.8
01-01-2017,1,enero,2017,19,1.329,5.44,,18.4,0,64.8,1018,230.9,1.3,222.4
01-01-2017,1,enero,2017,20,1.357,5.203,,17,0,69.1,1018,21.7,0.9,299.8
01-01-2017,1,enero,2017,21,1.358,4.073,,16,0,75.6,1018,0.4,1.4,246.4
01-01-2017,1,enero,2017,22,1.358,2.358,,15.6,0,81.1,1018,0,2.3,192
